source,target,weight
1110262435594805253,1331018240470917120,1
1110314276537851904,26068447,2
1110997556090359809,70740986,2
1111488677878943744,1151340112955019265,1
1111488677878943744,1241913808932782081,1
1111488677878943744,70740986,2
1113072121,1218767468954411011,3
1113239517593526272,930421517015441408,1
1113567856124411906,1285441470590259202,1
1113956088423092224,15792387,1
1113956088423092224,967299284235440128,1
1114208851761475584,1246578119307337729,1
1114315704524726273,1151340112955019265,1
1114785221965230080,1151340112955019265,3
111487726,967299284235440128,1
1115721538404139009,1151340112955019265,2
1115721538404139009,1512446430,1
1115721538404139009,15792387,1
1115721538404139009,70740986,1
1115783123118231558,2274214254,1
1117256795905507328,1218767468954411011,1
1119076905477713920,1035190563744743425,1
1119486846805757952,19608297,1
1119486846805757952,70740986,1
112007827,1229152419382165504,1
1120723790185619457,70740986,1
1120903835088760832,23680536,1
1120903835088760832,70740986,1
1121455277067460608,4429003533,1
1123101662254514176,73463687,1
112328757,23680536,1
112328757,70740986,2
1123318443149803520,967299284235440128,1
1123375172503760896,1151340112955019265,1
1123375172503760896,406885133,1
1124456257363034113,1360406910684585988,1
1126563966254309376,1218767468954411011,2
1126563966254309376,864575062258716672,2
1126589378342551553,1105838381622329344,1
1126589378342551553,1218767468954411011,3
1126589378342551553,70740986,15
1126589378342551553,89282580,2
1128366274235502593,28281764,1
1128366274235502593,564313817,1
1128366274235502593,826740883,1
1129607239755554817,19608297,1
1129607239755554817,70740986,1
1130215047924289536,1017628083111845888,1
1130215047924289536,1151340112955019265,2
1130215047924289536,1276082192293269504,1
1130215047924289536,1512446430,1
1130215047924289536,16573941,1
1130215047924289536,19409508,1
1130215047924289536,451131659,1
1130215047924289536,70740986,1
1130215047924289536,757695091,1
1130215047924289536,834477656989106183,1
1130215047924289536,920903952539021313,1
1130215047924289536,938424931230060544,1
1130215047924289536,963631905878036482,1
1130862791802404864,1218767468954411011,2
1130909048767954945,1151340112955019265,1
1130909048767954945,25030365,1
1130946628074917888,1348087687148953601,1
113131755,1218767468954411011,1
113158667,22226534,1
1132832214,400539441,1
1133888767054483456,19608297,1
1133888767054483456,70740986,2
1135257031,1218767468954411011,1
113628938,400539441,1
113628938,82455213,1
1136466938304049153,23680536,1
1136466938304049153,70740986,1
1137176982276530176,1331018240470917120,1
1137176982276530176,400539441,1
1137176982276530176,70740986,3
1138286927743000581,1098427405629353990,1
1138286927743000581,1254901513954222081,1
1138286927743000581,1923703927,1
1138286927743000581,255676608,1
1138286927743000581,2774386223,1
1138286927743000581,611192601,1
1139192722345078784,1218767468954411011,1
1139260217550655490,1331018240470917120,2
1139260217550655490,268269767,1
1139939888101507074,1068536122106626053,1
1140015596983279617,1151340112955019265,1
1140015596983279617,70740986,2
1140113007214809088,1126589378342551553,1
1140113007214809088,1218767468954411011,2
1140113007214809088,70740986,4
1141573621736988673,19608297,1
1141573621736988673,70740986,3
1141719703607554048,1151340112955019265,1
1141719703607554048,1218767468954411011,1
1141719703607554048,1303416853344202752,1
1141719703607554048,1331018240470917120,2
1141719703607554048,70740986,4
1142179072073707520,19608297,1
1142179072073707520,70740986,1
1142456721916477450,1218767468954411011,1
1142860256235724800,1105838381622329344,1
1142860256235724800,874256563,1
1142860256235724800,89282580,2
1142860256235724800,967299284235440128,1
1142951235777126401,73463687,1
1143164786315689985,70740986,1
1143164786315689985,89282580,1
1143316478084694016,1331018240470917120,1
1144090280091639808,25143488,1
114530746,1151340112955019265,1
1145537460438470656,22647474,1
1146187775718432768,1151340112955019265,2
1146187775718432768,1512446430,1
1146187775718432768,38059718,1
1146187775718432768,70740986,2
1146674481374605312,1303416853344202752,2
1146674481374605312,1348087687148953601,1
1146674481374605312,23680536,1
1146674481374605312,42301660,1
1146674481374605312,70740986,2
1146674481374605312,946441919718199297,2
1146791572551413760,497591536,1
1146791572551413760,89282580,9
1146840571551670272,33549858,1
1146840571551670272,70740986,1
1146860550850146304,23680536,1
1146860550850146304,70740986,1
1148466549155647488,70740986,10
114880433,1246578119307337729,1
1149726529729048576,1151340112955019265,2
1149726529729048576,70740986,6
1150556876427399171,1241600060988760067,1
1151093116948176898,1218767468954411011,2
1151093116948176898,63652756,1
115113619,1079344570331267072,1
115113619,1220285791,1
115113619,1348087687148953601,1
1151340112955019265,1151340112955019265,2
1151340112955019265,451131659,1
115141955,23680536,1
115141955,70740986,2
1151468165223899138,1218767468954411011,2
1151715095040446464,23680536,1
1151715095040446464,70740986,1
1151855306294607872,1198827021104750592,1
1151855306294607872,967299284235440128,1
1151866138923622400,1218767468954411011,2
1152092554785148928,70740986,1
1152348371891474432,1348087687148953601,1
1152348371891474432,19608297,1
1152348371891474432,2537997308,1
1152348371891474432,70740986,1
1152348371891474432,973596382991912962,1
1152926181726945280,89282580,1
1153304434568519680,1017628083111845888,1
1153304434568519680,1151340112955019265,3
1153304434568519680,1276082192293269504,1
1153304434568519680,1512446430,1
1153304434568519680,16573941,1
1153304434568519680,19409508,1
1153304434568519680,451131659,1
1153304434568519680,70740986,2
1153304434568519680,757695091,1
1153304434568519680,920903952539021313,1
1153304434568519680,938424931230060544,1
1153304434568519680,963631905878036482,1
1153835076368719872,1218767468954411011,1
1154119652374659074,1218767468954411011,1
1155703789183275008,1218767468954411011,1
1155703789183275008,1331018240470917120,1
1155703789183275008,23680536,1
1155703789183275008,70740986,1
1156247089996845057,497591536,1
1156247089996845057,89282580,5
1156648301309169665,2863151596,1
1156714803106328576,74015483,1
1157461716,1304051396942139397,1
1157903566113083392,70740986,3
1157943281751220224,4429003533,1
1158131668948901888,1068681410444173314,1
1158131668948901888,1085916809780449282,1
1158131668948901888,1151340112955019265,8
1158131668948901888,1218767468954411011,1
1158131668948901888,1286151626357694469,1
1158131668948901888,1364299506867531776,3
1158131668948901888,19608297,1
1158131668948901888,70740986,6
1158182836366655494,1250554778809237505,1
1159265838001770496,1068681410444173314,1
1159265838001770496,1130862791802404864,1
1159265838001770496,745218360221245440,1
1160217465806151680,1218767468954411011,1
1163567791779254273,1126589378342551553,1
1163567791779254273,70740986,1
1164198108819021826,1068681410444173314,1
116567114,19608297,1
116567114,70740986,1
1165780979631263745,1347010793573916673,1
1166418292883562496,1151340112955019265,1
1167071184132956161,1151340112955019265,1
1167095955088392192,1151340112955019265,2
1167095955088392192,70740986,2
1168199974376660992,1068681410444173314,1
1168199974376660992,4868058556,1
1168199974376660992,997459730,1
1170084420654551041,1151340112955019265,1
1170084420654551041,1218767468954411011,1
1170084420654551041,70740986,1
1170788970709565443,1218767468954411011,1
1170788970709565443,221651256,1
1170788970709565443,35592466,1
1171186047214075904,23680536,1
1171186047214075904,70740986,1
1172626621,33549858,1
1172626621,400539441,1
1172626621,70740986,1
1173342365974716416,1079344570331267072,1
1173342365974716416,1128041017897365504,1
1173417531769593857,1218767468954411011,4
1173417531769593857,70740986,1
1173786247,1105838381622329344,1
1173786247,21042473,1
1174143033044086785,1218767468954411011,1
1174380810532794376,19608297,1
1174380810532794376,70740986,1
1174500087969353728,1105838381622329344,1
1174500087969353728,70740986,1
117484424,1218767468954411011,1
117484424,1573627112,1
117484424,63652756,1
1177644192610361345,1198827021104750592,1
1177644192610361345,967299284235440128,1
1177673905122746369,1331018240470917120,1
1177673905122746369,24929621,1
1178015193349185536,1218767468954411011,2
1178015193349185536,1246578119307337729,1
1178015193349185536,1362196291120484356,1
1178015193349185536,221651256,1
1178015193349185536,892551439226195970,1
1178059195108737025,400539441,2
1178059195108737025,70740986,2
1178113752782249986,23680536,1
1178113752782249986,70740986,1
1179849718937067520,1304051396942139397,2
1179849718937067520,1339708810655649792,1
118011489,1151340112955019265,1
118090518,1348087687148953601,1
1181257441088065538,107631057,2
1182635108026720256,1331018240470917120,1
1183149058690637824,23680536,1
1183149058690637824,70740986,1
1186097419370582022,1230586851322482688,1
1186097419370582022,1331018240470917120,1
1186097419370582022,1344010272567140352,1
1186447733839802368,33088510,1
1186447733839802368,400539441,1
1186447733839802368,70740986,4
1186495272559529984,82455213,1
1186760931558051840,1151340112955019265,1
